Campaign Name,Send Time,Recipients,Revenue,First Purchase,Returning Customer,Open Rate,Click Rate,CTR,CVR,Time_Interval,Day_of_Week
Runner Pro — vuelve stock (2do aviso),2025-04-04 19:15:00,100915,9010.0,694.0,8315.0,0.4792,0.014499999999999999,0.030299999999999997,0.0007000000000000001,19:00–20:00,Friday
Runner Pro — vuelve stock,2025-04-01 18:15:00,100680,11905.0,1996.0,9908.0,0.5044,0.045899999999999996,0.091,0.0009,18:00–19:00,Tuesday
Flujo sanguíneo: comparación (con vs sin),2025-03-28 16:00:00,72938,5171.0,1528.0,3643.0,0.6681,0.0097,0.014499999999999999,0.0007000000000000001,16:00–17:00,Friday
Encuentra tu ajuste perfecto,2025-03-25 18:30:00,13413,369.0,187.0,182.0,0.3865,0.0149,0.038599999999999995,0.0003,18:00–19:00,Tuesday
Encuentra tu ajuste perfecto (v2),2025-03-25 18:30:00,119028,4893.0,505.0,4389.0,0.4447,0.0116,0.026099999999999998,0.0004,18:00–19:00,Tuesday
"Nueva temporada, nuevas aventuras",2025-03-22 17:00:00,76292,4824.0,1134.0,3690.0,0.6451,0.0096,0.0148,0.0006,17:00–18:00,Saturday
Haz tus aventuras waterproof,2025-03-20 11:30:00,73970,3771.0,1148.0,2623.0,0.6556000000000001,0.011399999999999999,0.0174,0.0005,11:00–12:00,Thursday
Venta St. Patrick’s Day,2025-03-17 17:30:00,102851,11142.0,2485.0,8658.0,0.5083,0.0101,0.019799999999999998,0.001,17:00–18:00,Monday
Diseñado para movimiento natural,2025-03-14 17:00:00,78015,3533.0,704.0,2829.0,0.6448999999999999,0.0102,0.0159,0.0004,17:00–18:00,Friday
¿Y si tu calzado te está frenando?,2025-03-11 19:30:00,79159,4670.0,1412.0,3258.0,0.6507999999999999,0.011699999999999999,0.018000000000000002,0.0006,19:00–20:00,Tuesday
Día Internacional de la Mujer,2025-03-08 15:00:00,83298,4146.0,718.0,3428.0,0.6043,0.0078000000000000005,0.0129,0.0005,15:00–16:00,Saturday
Únete a 50K+ atletas que confían en esta línea,2025-03-06 18:00:00,80564,2294.0,956.0,1338.0,0.6324000000000001,0.0109,0.0172,0.0003,18:00–19:00,Thursday
Espíritu libre. Pies listos.,2025-03-03 17:00:00,81123,6968.0,1109.0,5859.0,0.6395000000000001,0.0115,0.018000000000000002,0.0007000000000000001,17:00–18:00,Monday
Recordatorio final,2025-02-28 15:00:00,105035,5989.0,969.0,5020.0,0.48950000000000005,0.008100000000000001,0.0165,0.0005,15:00–16:00,Friday
Post-lanzamiento: FAQ/objeciones,2025-02-25 16:45:00,77706,6207.0,689.0,5518.0,0.6742,0.014499999999999999,0.0215,0.0004,16:00–17:00,Tuesday
Launch #3: urgencia y escasez,2025-02-22 10:30:00,108140,6455.0,841.0,5614.0,0.5224,0.019299999999999998,0.037000000000000005,0.0005,10:00–11:00,Saturday
Por qué cambia el juego,2025-02-20 17:00:00,73233,4232.0,476.0,3756.0,0.6072,0.0177,0.0291,0.0004,17:00–18:00,Thursday
Lanzamiento público oficial: Runner Pro,2025-02-18 18:00:00,63164,7322.0,514.0,6808.0,0.7243999999999999,0.0533,0.0735,0.0008,18:00–19:00,Tuesday
Follow-up: lanzamiento acceso VIP,2025-02-16 17:30:00,10903,8092.0,452.0,7640.0,0.7028,0.12369999999999999,0.17600000000000002,0.0046,17:00–18:00,Sunday
Newsletter Afiliados — Febrero,2025-02-16 09:00:00,24977,643.0,112.0,531.0,0.4018,0.006999999999999999,0.0174,0.0002,09:00–10:00,Sunday
Invitación acceso VIP — Runner Pro,2025-02-15 12:00:00,41049,29131.0,2073.0,27058.0,0.5322,0.13720000000000002,0.25780000000000003,0.0045000000000000005,12:00–13:00,Saturday
Teaser #3: conciencia del problema,2025-02-14 21:30:00,64246,312.0,33.0,279.0,0.4727,0.0212,0.0449,0.0001,21:00–22:00,Friday
Teaser #2: anuncio misterioso,2025-02-13 17:00:00,49333,910.0,401.0,510.0,0.6734,0.0209,0.0311,0.0002,17:00–18:00,Thursday
Teaser #1 — nota del fundador,2025-02-12 22:30:00,118406,2676.0,541.0,2136.0,0.4501,0.0658,0.1461,0.0002,22:00–23:00,Wednesday
CS / Social 2025 — #2,2025-01-30 09:00:00,131,0.0,0.0,0.0,0.2977,0.0076,0.0256,0.0,09:00–10:00,Thursday
CS / Social 2025 — #2 (clone),2025-01-30 09:00:00,55513,253.0,0.0,253.0,0.35,0.011899999999999999,0.0341,0.0001,09:00–10:00,Thursday
Hiring: Customer Support / Social 2025,2025-01-28 16:13:48,55822,488.0,310.0,179.0,0.39049999999999996,0.0348,0.08900000000000001,0.0001,16:00–17:00,Tuesday
Newsletter Afiliados — Enero,2025-01-06 12:00:00,27387,544.0,286.0,258.0,0.38789999999999997,0.0052,0.0134,0.0002,12:00–13:00,Monday
