Day_of_Week,First Purchase,Returning Customer,Recipients,FP RPR,RC RPR
Friday,69172.0,141205.0,2571949,0.026894779017779903,0.054901944012109107
Monday,39153.0,95405.0,1766624,0.022162610719655116,0.05400413443947326
Saturday,39653.0,104605.0,1593288,0.024887528180718113,0.06565354160704154
Sunday,45464.0,84138.0,1882345,0.02415285189484393,0.0446985010718014
Thursday,25286.0,50067.0,1468925,0.017213948976292186,0.034084109127423115
Tuesday,54596.0,104457.0,2409247,0.022661022302819096,0.043356700247006635
Wednesday,39002.0,62490.0,1517180,0.025706903597463717,0.041188257161312435
