Time_Interval,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
06:00–07:00,0.1805800531380473,0.0,0.0,0.0,0.0,0.04080542602797796,0.0
07:00–08:00,0.2724154826065654,0.0,0.0,0.046736140994218786,0.0,0.0,0.0
08:00–09:00,0.0,0.0,0.07875414804943691,0.017980610251014578,0.060210145004289756,0.0,0.10670323879528165
09:00–10:00,0.13835660072712894,0.0,0.02370502556187904,0.04700472409287366,0.0459081956187548,0.06274987284804956,0.038220273768159875
10:00–11:00,0.11170616169041035,0.038855595595994184,0.0580991635254837,0.08175773997691806,0.0,0.023069964497256606,0.09870492313724585
11:00–12:00,0.07596923612412648,0.014627704987079809,0.09973610468754252,0.035597629989745146,0.040157332833864016,0.19805549974326345,0.032324750986656645
12:00–13:00,0.03642938683799756,0.12155671574152224,0.21643882261656888,0.0759314525842456,0.06934645018199241,0.026563558953862195,0.15532856049726942
13:00–14:00,0.0,0.0,0.0,0.017028604228451164,0.05353911769774255,0.0,0.026859073761196103
14:00–15:00,0.06063450347287404,0.0,0.0,0.036645128010208236,0.0,0.14126881801979446,0.04794340909261216
15:00–16:00,0.044687760049205834,0.03918159726834452,0.07237023041178382,0.0,0.0,0.02300120841552969,0.12582351253471338
16:00–17:00,0.07089582933450328,0.07107584145494349,0.0,0.0,0.034940233810587154,0.0565184342349403,0.06658340872438344
17:00–18:00,0.03862507450824558,0.08335000565409138,0.06323074503224453,0.7421810510868568,0.04195290700520536,0.0,0.025249724203203462
18:00–19:00,0.028845642862457086,0.0477765726681128,0.0489555918312956,0.11085759244689221,0.04691663188982697,0.07252465280664602,0.02297879698848067
19:00–20:00,0.08928306000099093,0.0,0.0,0.0,0.0,0.05899518690231054,0.0
20:00–21:00,0.0,0.0,0.0,0.0,0.0,0.02686487312748395,0.0
21:00–22:00,0.004856333468231485,0.0,0.0,0.0,0.0,0.0,0.0
22:00–23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.022600206070638312
